stem,true_id,predicted_id,best_hamming,rotation,accepted,success,rejected,wrong_id,early_exit,outer_mean,border_bright
000000357587,236,-1,9,2,False,False,True,False,False,3.8683,False
000000357587,71,-1,8,2,False,False,True,False,False,31.2210,False
000000379980,147,-1,9,3,False,False,True,False,False,3.5826,False
000000379980,121,-1,9,2,False,False,True,False,False,26.1451,False
000000379980,200,-1,8,1,False,False,True,False,False,24.2656,False
000000414112,189,-1,8,1,False,False,True,False,False,7.6964,False
000000414112,214,-1,10,1,False,False,True,False,False,25.6205,False
000000414112,235,-1,10,1,False,False,True,False,False,2.6027,False
000000440060,150,-1,8,2,False,False,True,False,False,22.7991,False
000000440060,4,-1,7,0,False,False,True,False,False,18.0513,False
000000440060,241,-1,8,2,False,False,True,False,False,4.0871,False
000000480433,197,-1,8,1,False,False,True,False,False,17.6027,False
000000480433,112,-1,8,3,False,False,True,False,False,29.7790,False
000000480433,159,170,6,2,True,False,False,True,False,15.5580,False
000000480433,51,-1,8,2,False,False,True,False,False,16.4219,False
000000480433,104,-1,8,2,False,False,True,False,False,21.5290,False
000000480433,136,234,6,2,True,False,False,True,False,16.8147,False
000000518189,229,-1,10,1,False,False,True,False,False,9.8237,False
000000521427,23,-1,8,1,False,False,True,False,False,6.4844,False
000000521427,88,-1,8,2,False,False,True,False,False,1.8504,False
000000521427,164,-1,10,1,False,False,True,False,False,3.1942,False
000000521427,80,-1,7,1,False,False,True,False,False,12.9821,False
000000521427,89,-1,8,3,False,False,True,False,False,16.9978,False
000000546890,117,-1,8,1,False,False,True,False,False,16.2679,False
000000546890,76,-1,9,1,False,False,True,False,False,11.3393,False
000000546890,155,-1,9,0,False,False,True,False,False,5.1763,False
000000546890,186,-1,10,2,False,False,True,False,False,2.0201,False
000000572362,48,-1,9,2,False,False,True,False,False,4.6964,False
000000572362,232,-1,9,2,False,False,True,False,False,18.4308,False
000000572362,160,-1,7,3,False,False,True,False,False,11.0558,False
000000572362,188,-1,9,2,False,False,True,False,False,3.1429,False
000000572362,32,-1,9,3,False,False,True,False,False,28.4062,False
000000572362,221,-1,9,2,False,False,True,False,False,3.4241,False
000000097200,209,-1,8,2,False,False,True,False,False,13.1629,False
000000097200,38,-1,7,1,False,False,True,False,False,25.8929,False
000000097200,59,-1,9,1,False,False,True,False,False,3.9844,False
000000097200,218,-1,8,1,False,False,True,False,False,19.0089,False
000000097200,237,-1,10,0,False,False,True,False,False,14.9509,False
000000097200,0,-1,8,3,False,False,True,False,False,6.0915,False
000000097200,62,-1,9,3,False,False,True,False,False,23.7299,False
000000097200,209,-1,8,1,False,False,True,False,False,24.9888,False
000000097200,17,-1,9,0,False,False,True,False,False,18.0982,False
000000136701,110,-1,8,1,False,False,True,False,False,10.0871,False
000000136701,135,-1,7,1,False,False,True,False,False,30.6295,False
000000259366,199,-1,9,0,False,False,True,False,False,11.0647,False
000000259366,67,-1,9,2,False,False,True,False,False,10.4509,False
000000259366,32,-1,9,0,False,False,True,False,False,6.7299,False
000000122782,110,-1,8,1,False,False,True,False,False,17.1741,False
000000122782,37,-1,8,2,False,False,True,False,False,8.8214,False
000000122782,19,-1,9,0,False,False,True,False,False,9.4263,False
000000122782,192,-1,9,2,False,False,True,False,False,14.0067,False
000000221856,111,-1,8,3,False,False,True,False,False,10.7299,False
000000221856,60,-1,9,1,False,False,True,False,False,36.7366,False
000000292685,151,-1,8,0,False,False,True,False,False,15.0714,False
000000292685,199,-1,9,3,False,False,True,False,False,12.8103,False
000000292685,193,-1,7,3,False,False,True,False,False,27.1473,False
000000292685,130,207,6,0,True,False,False,True,False,48.3237,False
000000292685,137,137,6,0,True,True,False,False,False,33.8884,False
000000292685,241,-1,8,2,False,False,True,False,False,10.2455,False
000000562875,182,-1,10,0,False,False,True,False,False,12.3594,False
000000562875,4,-1,7,0,False,False,True,False,False,18.5268,False
000000113513,188,-1,9,2,False,False,True,False,False,14.6406,False
000000113513,183,-1,9,2,False,False,True,False,False,18.4621,False
000000113513,234,-1,7,2,False,False,True,False,False,9.0804,False
000000286124,152,187,6,0,True,False,False,True,False,20.5089,False
000000286124,33,-1,10,0,False,False,True,False,False,11.6228,False
000000286124,147,-1,8,0,False,False,True,False,False,32.5000,False
000000286124,17,-1,9,0,False,False,True,False,False,8.4576,False
000000286124,168,-1,10,1,False,False,True,False,False,7.7500,False
000000359760,40,-1,7,3,False,False,True,False,False,11.8504,False
000000359760,44,-1,9,0,False,False,True,False,False,15.6339,False
000000191874,13,-1,8,0,False,False,True,False,False,8.7701,False
000000191874,202,202,6,0,True,True,False,False,False,11.7210,False
000000191874,41,-1,7,1,False,False,True,False,False,9.5000,False
000000191874,30,-1,10,0,False,False,True,False,False,4.1295,False
000000191874,214,-1,10,0,False,False,True,False,False,7.8013,False
000000191874,232,-1,8,2,False,False,True,False,False,10.3951,False
000000031043,76,-1,8,2,False,False,True,False,False,6.7746,False
000000031043,70,-1,9,2,False,False,True,False,False,11.4554,False
000000031043,90,146,5,2,True,False,False,True,False,18.4174,False
000000112703,186,-1,8,1,False,False,True,False,False,8.8884,False
000000112703,226,-1,9,0,False,False,True,False,False,14.9576,False
000000112703,174,-1,10,0,False,False,True,False,False,8.5469,False
000000112703,209,-1,8,0,False,False,True,False,False,7.6629,False
000000112703,155,-1,8,2,False,False,True,False,False,6.9598,False
000000112703,124,-1,7,2,False,False,True,False,False,26.0223,False
000000057481,12,-1,9,2,False,False,True,False,False,6.3214,False
000000057481,220,-1,7,2,False,False,True,False,False,10.0826,False
000000057481,52,-1,8,2,False,False,True,False,False,11.5290,False
000000057481,106,-1,8,2,False,False,True,False,False,11.7009,False
000000344325,4,-1,7,0,False,False,True,False,False,34.8661,False
000000344325,64,-1,7,1,False,False,True,False,False,11.4219,False
000000344325,9,-1,9,1,False,False,True,False,False,16.9911,False
000000541280,118,-1,8,1,False,False,True,False,False,13.1317,False
000000541280,49,-1,10,0,False,False,True,False,False,15.8817,False
000000088102,58,-1,7,1,False,False,True,False,False,6.7076,False
000000088102,221,-1,8,0,False,False,True,False,False,8.6696,False
000000088102,83,-1,9,2,False,False,True,False,False,3.7076,False
000000288776,120,-1,9,1,False,False,True,False,False,3.6094,False
000000288776,111,-1,8,1,False,False,True,False,False,31.2701,False
000000288776,134,-1,9,3,False,False,True,False,False,7.7277,False
000000288776,224,-1,10,2,False,False,True,False,False,16.0759,False
000000242897,192,-1,10,0,False,False,True,False,False,16.1161,False
000000242897,142,-1,9,1,False,False,True,False,False,20.9509,False
000000242897,61,-1,8,2,False,False,True,False,False,19.8125,False
000000242897,104,-1,8,2,False,False,True,False,False,45.3996,False
